chunk_id,source_document,chunk_index,text,word_count
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_0,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,0,"POLICY AND REGULATIONS AGAINST SEXUAL HARASSMENTMAKERERE UNIVERSITY POLICY AND REGULATIONS AGAINST SEXUAL HARASSMENT Approved by the University Council on 27th September 2006 and amended on 5th December, 2018 1SECTION ONE: POLICY PREAMBLE AND INTRODUCTION PREAMBLE Whereas under section 40  (of the Universities and Other Tertiary Institutions Act, 2001 (as amended) Makerere University Council is empowered to formulate policies necessary for the fulfillment of the objectives and functions of the University; And the Bill of Rights of the 1995 Constitution of Uganda and other international human rights instruments and protocols to which Uganda is a State Party provide, inter alia, that all persons are equal in all aspects of life and shall enjoy equal protection of the law; And in recognition of its vision to be a Centre of academic excellence, providing world-class teaching, research, learning and services relevant to the sustainable development needs of society, the University has made a commitment to create a conducive environment of reciprocal respect among members of the University community; And the University recognizes that a conducive environment for academia and related employment includes due regard for the rights and feelings of all persons free from sexual harassment; And the University is committed to upholding professional ethics and conduct for the smooth running of the University; And the University recognises that sexual harassment is a negation of reciprocal respect in addition to being a violation of the fundamental rights, dignity and integrity of the person and that it undermines the environment required for the advancement of learning, the dissemination of knowledge, research and productive work; And whereas in September 2006 the University Council made a Policy and Regulations against Sexual Harassment, several gaps and inadequacies in the said Policy have necessitated that the said Policy be revisited to address the shortfalls therein.",297
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_1,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,1,"POLICY AND REGULATIONS AGAINST SEXUAL HARASSMENTMAKERERE UNIVERSITY POLICY AND REGULATIONS AGAINST SEXUAL HARASSMENT Approved by the University Council on 27th September 2006 and amended on 5th December, 2018 1SECTION ONE: POLICY PREAMBLE AND INTRODUCTION PREAMBLE Whereas under section 40  (of the Universities and Other Tertiary Institutions Act, 2001 (as amended) Makerere University Council is empowered to formulate policies necessary for the fulfillment of the objectives and functions of the University; And the Bill of Rights of the 1995 Constitution of Uganda and other international human rights instruments and protocols to which Uganda is a State Party provide, inter alia, that all persons are equal in all aspects of life and shall enjoy equal protection of the law; And in recognition of its vision to be a Centre of academic excellence, providing world-class teaching, research, learning and services relevant to the sustainable development needs of society, the University has made a commitment to create a conducive environment of reciprocal respect among members of the University community; And the University recognizes that a conducive environment for academia and related employment includes due regard for the rights and feelings of all persons free from sexual harassment; And the University is committed to upholding professional ethics and conduct for the smooth running of the University; And the University recognises that sexual harassment is a negation of reciprocal respect in addition to being a violation of the fundamental rights, dignity and integrity of the person and that it undermines the environment required for the advancement of learning, the dissemination of knowledge, research and productive work; And whereas in September 2006 the University Council made a Policy and Regulations against Sexual Harassment, several gaps and inadequacies in the said Policy have necessitated that the said Policy be revisited to address the shortfalls therein. Now therefore, it is hereby resolved by the University Council that a revised and amended Policy Against Sexual Harassment be adopted as herein below.",321
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_2,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,2,"Now therefore, it is hereby resolved by the University Council that a revised and amended Policy Against Sexual Harassment be adopted as herein below. 21 INTRODUCTION (This P olicy and Regulations Against Sexual Harassment is intended to address acts and practices related to sexual harassment at all levels within the structures of Makerere University. (In line with the 1995 C onstitution of the Republic of Uganda (as amended) and the international and regional human rights instruments and protocols to which Uganda is a State Party which guarantee all Ugandans equality, dignity and non-discrimination, Makerere University reaffirms its zero-tolerance to sexual harassment and its commitment to creating an environment that respects and protects the rights of all members of the University community.",121
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_3,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,3,"(In line with the 1995 C onstitution of the Republic of Uganda (as amended) and the international and regional human rights instruments and protocols to which Uganda is a State Party which guarantee all Ugandans equality, dignity and non-discrimination, Makerere University reaffirms its zero-tolerance to sexual harassment and its commitment to creating an environment that respects and protects the rights of all members of the University community. (This P olicy applies to all members of the University Community (Se xual Harassment may occur between equals but most often occurs in situations where one person has power over another. Citation This Policy may be cited as The Makerere University Policy and Regulations Against Sexual Harassment, 2006 (as amended) .",118
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_4,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,4,"Citation This Policy may be cited as The Makerere University Policy and Regulations Against Sexual Harassment, 2006 (as amended) . Definitions For the purposes of this policy, the following words shall have the meanings attributed to them as follows: Bad Faith means a sexual harassment complaint brought with an ulterior motive prompted by ill will, hostility, and/or malice which is rooted in personal animosity. Complainant means a person who lodges a complaint of sexual harassment. Conflict of Interest means a situation where the personal interests of a member investigating sexual harassment are incompatible or have the potential to be incompatible with his/her duties and responsibilities to the University. For example, a member of an ad hoc Committee who has close relations with the complainant or the respondent.",127
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_5,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,5,"For example, a member of an ad hoc Committee who has close relations with the complainant or the respondent. 3Confidentiality means protecting the people involved in sexual harassment cases including the complainant, the respondent and witnesses, such that the information they share is accessed only by authorized persons. Contractors means persons or entities which have been engaged by the University to provide goods and services or execute works on a contractual basis. Frivolous refers to a complaint made in bad faith. Hostile environment means unwelcome sexual activity or conduct that is serious or pervasive to the extent that it interferes with or limits the conditions of education or employment and creates an environment that a reasonable person would find intimidating, hostile or offensive. Staff means all employees, practitioner staff, professional staff, and volunteers of the University .",137
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_6,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,6,"Staff means all employees, practitioner staff, professional staff, and volunteers of the University . Partners mean persons or entities that have entered into a partnership of any nature with the University and/or members of the University Community, including suppliers and service providers. Respondent refers to a person against whom a sexual harassment complaint has been lodged. Sexual harassment means unwelcome sexual advances, requests for sexual favours or unwanted physical, verbal or non-verbal conduct of a sexual nature.",77
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_7,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,7,"Sexual harassment means unwelcome sexual advances, requests for sexual favours or unwanted physical, verbal or non-verbal conduct of a sexual nature. Such conduct would constitute sexual harassment when: (Submis sion to such conduct is made either explicitly or implicitly a term or condition of an individuals employment or academic achievement or advancement; or (Submis sion to or rejection of such conduct is used or threatened to be used as the basis for decisions affecting the employment and/or the academic standing of an individual; or 4(Such c onduct has the purpose or effect of unreasonably interfering with an individuals work or academic performance or creating an intimidating, threatening, hostile or offensive working or learning environment. Sexual assault means non-consensual and/or abusive sexual conduct, including sexual intercourse.",125
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_8,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,8,"Sexual assault means non-consensual and/or abusive sexual conduct, including sexual intercourse. Sexual body parts include, but are not limited to, areas around the genitals, breasts and buttocks.Sexual Act Shall be defined as per the Uganda Penal Code Act Student refers to a person who has been duly registered by the University for a programme of study.University means Makerere University. University Community means students, alumni, academic, administrative and support staff, contractors, partners and visitors to all on and off-campus university premises and facilities. Objectives The objectives of this policy are three-fold: (T o sensitize the University community about the evils of sexual harassment, thereby engendering a sense of social responsibility and zero tolerance for such behavior. (T o establish an institutional framework that encourages victims of Sexual Harassment to seek redress.",130
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_9,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,9,"(T o establish an institutional framework that encourages victims of Sexual Harassment to seek redress. (T o take action in eliminating sexual harassment at Makerere University and impose such sanctions and corrective action as may be deemed necessary. Enforcement Principles Enforcement and implementation of this policy shall be based on the following principles: (An y complaint lodged under this policy will be treated with diligence, confidentiality, fairness, justice and due process. (All c omplaints of sexual harassment shall be treated with confidentiality. Only those individuals involved in the investigation and decision-making processes shall ordinarily be provided access to information regarding any complaint of sexual harassment. (Wher eas anonymous complaints are ordinarily not permissible they should not be ignored. Zero tolerance to sexual harassment means that all allegations should be investigated to assess the merits of all the circumstantial evidence.",139
